condition,seed,numerator,denominator,commit_delta,commit_delta_defined,complete,successful,total_ms_delta,total_ms_delta_defined,total_ms_ratio,total_ms_ratio_defined,validator_rate_ratio,validator_rate_ratio_defined
main-l4-n40-uniform-k1,11,graph,adaptive,0,3,True,3,-0.038452,3,0.6683657188198056,3,1.4961868507645655,3
main-l4-n40-uniform-k1,11,paper,adaptive,0,3,True,3,-0.054100999999999996,3,0.5333988805229976,3,1.8747695889790772,3
main-l4-n40-uniform-k1,29,adaptive,accept_id,0,3,True,3,0.024418999999999996,3,1.4038000429943942,3,0.7123521651038968,3
main-l4-n40-uniform-k1,29,adaptive,accept_static_degree,0,3,True,3,-0.16799899999999998,3,0.3356861256430636,3,2.978973283701644,3
main-l4-n40-uniform-k1,29,graph,adaptive,0,3,True,3,-0.010195999999999997,3,0.8798944541299534,3,1.136499946449609,3
main-l4-n40-uniform-k1,29,paper,adaptive,0,3,True,3,-0.027121999999999993,3,0.6810377269733748,3,1.4683474356760489,3
main-l4-n40-uniform-k1,47,adaptive,accept_id,0,3,True,3,0.031657000000000005,3,1.536714738429731,3,0.6507388619320688,3
main-l4-n40-uniform-k1,47,adaptive,accept_static_degree,0,3,True,3,-0.15677799999999997,3,0.365151911732136,3,2.7385862373180414,3
main-l4-n40-uniform-k1,47,graph,adaptive,0,3,True,3,-0.012589000000000003,3,0.8595228530619532,3,1.1634361976969114,3
main-l4-n40-uniform-k1,47,paper,adaptive,0,3,True,3,-0.031566000000000004,3,0.6501025328382197,3,1.5382188954628384,3
main-l4-n40-uniform-k1,71,adaptive,accept_id,0,3,True,3,0.026768999999999994,3,1.4508690965438253,3,0.6892420566280865,3
main-l4-n40-uniform-k1,71,adaptive,accept_static_degree,0,3,True,3,-0.164854,3,0.3432664528083843,3,2.913188841550481,3
main-l4-n40-uniform-k1,71,graph,adaptive,0,3,True,3,-0.011997999999999995,3,0.8607167318698413,3,1.16182242423425,3
main-l4-n40-uniform-k1,71,paper,adaptive,0,3,True,3,-0.028242999999999997,3,0.6721305766127628,3,1.487806141835642,3
main-l4-n40-uniform-k1,101,adaptive,accept_id,0,3,True,3,0.006957999999999992,3,1.108757834846898,3,0.9019101994783959,3
main-l4-n40-uniform-k1,101,adaptive,accept_static_degree,0,3,True,3,-0.20220000000000002,3,0.2732077698330304,3,3.660218011409943,3
main-l4-n40-uniform-k1,101,graph,adaptive,0,3,True,3,0.004733000000000001,3,1.0667230563191654,3,0.9374504414019136,3
main-l4-n40-uniform-k1,101,paper,adaptive,0,3,True,3,-0.011486999999999997,3,0.8416972290138549,3,1.1880756708342914,3
main-l4-n40-zipf-k1,11,adaptive,accept_id,1,3,True,3,0.30736199999999997,3,4.9129471674092935,3,0.21920102948938536,3
main-l4-n40-zipf-k1,11,adaptive,accept_static_degree,0,3,True,3,-0.022508000000000028,3,0.9448900641496498,3,1.058324177532702,3
main-l4-n40-zipf-k1,11,graph,adaptive,0,3,True,3,-0.188043,3,0.5191749087152633,3,1.926133145522333,3
main-l4-n40-zipf-k1,11,paper,adaptive,0,3,True,3,-0.22643599999999997,3,0.4199154604841809,3,2.3814317263931084,3
main-l4-n40-zipf-k1,29,adaptive,accept_id,1,3,True,3,0.20212000000000002,3,4.4655492248575595,3,0.23793265878373365,3
main-l4-n40-zipf-k1,29,adaptive,accept_static_degree,0,3,True,3,-0.028005999999999975,3,0.9037799506634326,3,1.106464022869655,3
main-l4-n40-zipf-k1,29,graph,adaptive,0,3,True,3,-0.12172400000000003,3,0.5485215791581977,3,1.8230823325760037,3
main-l4-n40-zipf-k1,29,paper,adaptive,0,3,True,3,-0.148448,3,0.4288506450284905,3,2.331814144604039,3
main-l4-n40-zipf-k1,47,adaptive,accept_id,1,3,True,3,0.19278499999999998,3,4.2364939730718865,3,0.24992919525954396,3
main-l4-n40-zipf-k1,47,adaptive,accept_static_degree,0,3,True,3,-0.04110899999999998,3,0.8564755171510867,3,1.1675756982830308,3
main-l4-n40-zipf-k1,47,graph,adaptive,0,3,True,3,-0.12060799999999999,3,0.5220625240240776,3,1.9154793803086312,3
main-l4-n40-zipf-k1,47,paper,adaptive,0,3,True,3,-0.144638,3,0.41830536940109897,3,2.3905980490561993,3
main-l4-n40-zipf-k1,71,adaptive,accept_id,1,3,True,3,0.282109,3,4.498014038692005,3,0.2382003618068156,3
main-l4-n40-zipf-k1,71,adaptive,accept_static_degree,0,3,True,3,-0.060736999999999985,3,0.8582421532199339,3,1.1651723190806023,3
main-l4-n40-zipf-k1,71,graph,adaptive,0,3,True,3,-0.212328,3,0.41107520767747935,3,2.4326448818206967,3
main-l4-n40-zipf-k1,71,paper,adaptive,0,3,True,3,-0.20694,3,0.4372333221835151,3,2.2871083910212153,3
main-l4-n40-zipf-k1,101,adaptive,accept_id,1,3,True,3,0.211099,3,4.40922157622739,3,0.2419172292038283,3
main-l4-n40-zipf-k1,101,adaptive,accept_static_degree,0,3,True,3,-0.145501,3,0.6546626160017088,3,1.5275043595851052,3
main-l4-n40-zipf-k1,101,graph,adaptive,0,3,True,3,-0.13038100000000002,3,0.5224471556924609,3,1.9140691821253806,3
main-l4-n40-zipf-k1,101,paper,adaptive,0,3,True,3,-0.16348000000000001,3,0.401213834934565,3,2.4924364838094197,3
paper_k-l2-n40-uniform-k2,11,adaptive,accept_id,0,3,True,3,-0.0026580000000000006,3,0.959064867861763,3,1.04268233933905,3
paper_k-l2-n40-uniform-k2,11,adaptive,accept_static_degree,0,3,True,3,-0.0033429999999999988,3,0.9375478712473613,3,1.0666122026063045,3
paper_k-l2-n40-uniform-k2,11,graph,adaptive,0,3,True,3,0.007382,3,1.1470928147292074,3,0.8717690383546415,3
paper_k-l2-n40-uniform-k2,11,paper,adaptive,0,3,True,3,-0.006874000000000005,3,0.8896168545460384,3,1.1240794223826716,3
paper_k-l2-n40-uniform-k2,29,adaptive,accept_id,-1,3,True,3,0.016915,3,1.2490503253923848,3,0.7800798370977429,3
paper_k-l2-n40-uniform-k2,29,adaptive,accept_static_degree,-1,3,True,3,0.014815000000000002,3,1.2252198905241267,3,0.7952523313526695,3
paper_k-l2-n40-uniform-k2,29,graph,adaptive,0,3,True,3,0.005423999999999998,3,1.0740042200558744,3,0.9310950379207781,3
paper_k-l2-n40-uniform-k2,29,paper,adaptive,0,3,True,3,-0.016838,3,0.7291970408769372,3,1.3713714454976305,3
paper_k-l2-n40-uniform-k2,47,adaptive,accept_id,-1,3,True,3,0.013515,3,1.209658403400453,3,0.8054827475425856,3
paper_k-l2-n40-uniform-k2,47,adaptive,accept_static_degree,-1,3,True,3,0.0004699999999999982,3,1.006063968415756,3,0.9684861052059073,3
paper_k-l2-n40-uniform-k2,47,graph,adaptive,0,3,True,3,0.0025529999999999997,3,1.0432184452871072,3,0.9585720081135902,3
paper_k-l2-n40-uniform-k2,47,paper,adaptive,0,3,True,3,-0.020339000000000003,3,0.6920765074787624,3,1.4449269541643657,3
paper_k-l2-n40-uniform-k2,71,adaptive,accept_id,0,3,True,3,0.0018089999999999981,3,1.0396910722513548,3,0.9618241674756257,3
paper_k-l2-n40-uniform-k2,71,adaptive,accept_static_degree,0,3,True,3,-0.002820000000000003,3,0.9438314145719634,3,1.0595112480479465,3
paper_k-l2-n40-uniform-k2,71,graph,adaptive,0,3,True,3,-7.399999999999768e-05,3,0.9984571118802386,3,1.0015452723020382,3
paper_k-l2-n40-uniform-k2,71,paper,adaptive,0,3,True,3,-0.008264999999999995,3,0.827676076894208,3,1.2082021311434112,3
paper_k-l2-n40-uniform-k2,101,adaptive,accept_id,-1,3,True,3,0.009564999999999997,3,1.2080523774307217,3,0.8065535837371846,3
paper_k-l2-n40-uniform-k2,101,adaptive,accept_static_degree,-1,3,True,3,0.0017369999999999955,3,1.0322850451656072,3,0.9438855855968157,3
paper_k-l2-n40-uniform-k2,101,graph,adaptive,0,3,True,3,0.0033450000000000008,3,1.0602279479284826,3,0.9431933971876909,3
paper_k-l2-n40-uniform-k2,101,paper,adaptive,0,3,True,3,-0.015253000000000003,3,0.7215081248858863,3,1.3859857782726421,3
paper_k-l2-n40-zipf-k2,11,adaptive,accept_id,-2,3,True,3,0.039242000000000006,3,1.874902459144316,3,0.4923333043673135,3
paper_k-l2-n40-zipf-k2,11,adaptive,accept_static_degree,-2,3,True,3,0.028434,3,1.510842421084781,3,0.6109683645327857,3
paper_k-l2-n40-zipf-k2,11,graph,adaptive,0,3,True,3,-0.006539000000000003,3,0.9216435795427311,3,1.0850181373759964,3
paper_k-l2-n40-zipf-k2,11,paper,adaptive,0,3,True,3,-0.024577,3,0.7054953745865886,3,1.417443736730361,3
paper_k-l2-n40-zipf-k2,29,adaptive,accept_id,-1,3,True,3,0.040143,3,1.8898913766348926,3,0.5079657020867301,3
paper_k-l2-n40-zipf-k2,29,adaptive,accept_static_degree,-2,3,True,3,0.032431999999999996,3,1.6139982204047632,3,0.5719194181301087,3
paper_k-l2-n40-zipf-k2,29,graph,adaptive,0,3,True,3,-0.010508000000000003,3,0.8796306902792732,3,1.1368407344706342,3
paper_k-l2-n40-zipf-k2,29,paper,adaptive,0,3,True,3,-0.029327,3,0.65600037535336,3,1.5243893716697063,3
paper_k-l2-n40-zipf-k2,47,adaptive,accept_id,-1,3,True,3,0.043125,3,1.9715463638821302,3,0.48516319811367153,3
paper_k-l2-n40-zipf-k2,47,adaptive,accept_static_degree,-1,3,True,3,0.033893999999999994,3,1.632126671515694,3,0.5860585185107902,3
paper_k-l2-n40-zipf-k2,47,graph,adaptive,0,3,True,3,-0.006641000000000008,3,0.9214463987887533,3,1.0852503209242619,3
paper_k-l2-n40-zipf-k2,47,paper,adaptive,0,3,True,3,-0.02407799999999999,3,0.7161850463088915,3,1.3962871818587215,3
paper_k-l2-n40-zipf-k2,71,adaptive,accept_id,0,3,True,3,0.043035,3,1.9480666666666668,3,0.5133294548441188,3
paper_k-l2-n40-zipf-k2,71,adaptive,accept_static_degree,-1,3,True,3,0.033406000000000005,3,1.6156993567650257,3,0.594169946271517,3
paper_k-l2-n40-zipf-k2,71,graph,adaptive,0,3,True,3,-0.007947999999999997,3,0.907182062361322,3,1.102314564506578,3
paper_k-l2-n40-zipf-k2,71,paper,adaptive,0,3,True,3,-0.026504,3,0.6944206791919053,3,1.4400492813141685,3
paper_k-l2-n40-zipf-k2,101,adaptive,accept_id,-1,3,True,3,0.049148,3,2.1495532581746737,3,0.44305994687923267,3
paper_k-l2-n40-zipf-k2,101,adaptive,accept_static_degree,-2,3,True,3,0.038,3,1.7049831175095544,3,0.533196428606757,3
paper_k-l2-n40-zipf-k2,101,graph,adaptive,0,3,True,3,-0.005148,3,0.9420185387500423,3,1.0615502337426321,3
