condition,seed,mode,commit_count,complete,expected,fvs_size,peak_rss_kib,successful,total_ms,validator_commits_per_second
main-l2-n40-zipf-k1,29,profile,26,True,3,14,1976,3,0.110164,236011.76427871175
main-l2-n40-zipf-k1,47,accept_id,23,True,3,17,1996,3,0.043839,524647.0038093934
main-l2-n40-zipf-k1,47,accept_static_degree,23,True,3,17,2036,3,0.054281,423721.00735063833
main-l2-n40-zipf-k1,47,adaptive,23,True,3,17,2016,3,0.085375,269399.7071742313
main-l2-n40-zipf-k1,47,graph,23,True,3,17,2000,3,0.080937,284171.6396703609
main-l2-n40-zipf-k1,47,lazy,23,True,3,17,1964,3,0.089223,257781.06542035125
main-l2-n40-zipf-k1,47,paper,23,True,3,17,2012,3,0.068564,335453.007409136
main-l2-n40-zipf-k1,47,profile,23,True,3,17,2000,3,0.115981,198308.34360800477
main-l2-n40-zipf-k1,71,accept_id,24,True,3,16,1992,3,0.045441,528157.390902489
main-l2-n40-zipf-k1,71,accept_static_degree,25,True,3,15,2008,3,0.054502,458698.763348134
main-l2-n40-zipf-k1,71,adaptive,25,True,3,15,2052,3,0.095033,263066.51373733336
main-l2-n40-zipf-k1,71,graph,25,True,3,15,1980,3,0.080959,308798.28061117354
main-l2-n40-zipf-k1,71,lazy,25,True,3,15,1984,3,0.088082,283826.4344587998
main-l2-n40-zipf-k1,71,paper,25,True,3,15,2016,3,0.062651,399035.92919506476
main-l2-n40-zipf-k1,71,profile,25,True,3,15,1984,3,0.115388,216660.31129753526
main-l2-n40-zipf-k1,101,accept_id,21,True,3,19,2004,3,0.043175,486392.5883034163
main-l2-n40-zipf-k1,101,accept_static_degree,22,True,3,18,2012,3,0.051847,424325.4190213513
main-l2-n40-zipf-k1,101,adaptive,22,True,3,18,2016,3,0.097021,226755.0324156626
main-l2-n40-zipf-k1,101,graph,22,True,3,18,2008,3,0.085601,257006.34338383898
main-l2-n40-zipf-k1,101,lazy,22,True,3,18,1996,3,0.090677,242619.4073469568
main-l2-n40-zipf-k1,101,paper,22,True,3,18,1996,3,0.069572,316219.1686310585
main-l2-n40-zipf-k1,101,profile,22,True,3,18,2016,3,0.116806,188346.48905022003
main-l3-n40-uniform-k1,11,accept_id,39,True,3,1,2004,3,0.051315,760011.6924875767
main-l3-n40-uniform-k1,11,accept_static_degree,39,True,3,1,2000,3,0.130473,298912.4186613322
main-l3-n40-uniform-k1,11,adaptive,39,True,3,1,2008,3,0.066329,587978.1091227065
main-l3-n40-uniform-k1,11,graph,39,True,3,1,2052,3,0.063675,612485.2767962309
main-l3-n40-uniform-k1,11,lazy,39,True,3,1,2012,3,0.066543,586087.191740679
main-l3-n40-uniform-k1,11,paper,39,True,3,1,1992,3,0.047453,821865.8462057193
main-l3-n40-uniform-k1,11,profile,39,True,3,1,2016,3,0.080302,485666.60855271353
main-l3-n40-uniform-k1,29,accept_id,40,True,3,0,1984,3,0.050844,786720.1636377941
