condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.012595000000000023,100,9615.397089571925,9606.164046750608,1.0009611581455806
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,-0.012595000000000023,1000,982.0427788278405,981.9463857585106,1.0000981653079313
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.020681000000000005,0,418749.33531851537,449654.7294042075,0.9312686110815697
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.020681000000000005,0.1,401662.75629909214,430012.1154207123,0.9340731153728451
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.020681000000000005,1,293777.51249720214,308660.8772338106,0.9517808513019475
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.020681000000000005,10,79701.63755237535,80758.10064638528,0.9869181780458675
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.020681000000000005,100,9617.662791918965,9632.869184489704,0.998421405680955
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.020681000000000005,1000,982.0664073928214,982.22473356472,0.9998388086081643
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.010994999999999977,0,418749.33531851537,403987.29043159314,1.036540864617675
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.010994999999999977,0.1,401662.75629909214,388061.2644021547,1.0350498571865754
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.010994999999999977,1,293777.51249720214,286434.5940244288,1.02563558531672
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.010994999999999977,10,79701.63755237535,79151.14791150902,1.006954916705463
