condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,accept_id,ok,0,0.010301999999999978,0.011511999999999994,0.9661099469378223,0.9226115249132808,0.9661099469376567,126,126,0.293681,0.303983,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,accept_static_degree,ok,0,-0.012595000000000023,-0.010724000000000011,1.041433238042917,1.0720912097663289,1.0414332380420994,126,126,0.316578,0.303983,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,3,native,ok,0,0.120199,0.131427,0.5710472315900291,0.0,0.5710472315899198,126,126,0.160016,0.280215,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,3,accept_static_degree,ok,0,-0.03167599999999998,-0.026628000000000013,1.1130417714968863,1.2026067702983407,1.1130417714952516,126,126,0.311891,0.280215,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,native,ok,0,0.14088,0.147404,0.5317983622248218,0.0,0.5317983622255809,126,126,0.160016,0.300896,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,accept_id,ok,0,0.020681000000000005,0.01597700000000002,0.9312686110815697,0.8916108111041762,0.9312686110830772,126,126,0.280215,0.300896,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,accept_static_degree,ok,0,-0.010994999999999977,-0.010650999999999994,1.036540864617675,1.0722571979050772,1.0365408646178307,126,126,0.311891,0.300896,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,3,accept_id,ok,0,-0.120199,-0.131427,1.7511686331366865,,1.7511686331370218,126,126,0.280215,0.160016,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,3,accept_static_degree,ok,0,-0.15187499999999998,-0.158055,1.9491238376162383,,1.949123837613749,126,126,0.311891,0.160016,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,native,ok,0,0.14723800000000004,0.153718,0.5207938708690529,0.0,0.5207938708693334,126,126,0.160016,0.307254,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,accept_id,ok,0,0.027039000000000035,0.022291000000000005,0.9119978909957233,0.8549877047580634,0.9119978909963891,126,126,0.280215,0.307254,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,accept_static_degree,ok,0,-0.004636999999999947,-0.0043370000000000075,1.0150917481953041,1.028214002263886,1.0150917481945543,126,126,0.311891,0.307254,variant_dominates
