condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,metric,expected_seeds,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switch_round,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_switches,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_total_ms,5,5,0.135021,0.134159,0.137244,0.134499,0.137115,0.0026159999999999795
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_tree_updates,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_trim_key_visits,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,selector_trim_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,commit_count,5,5,124,122,126,124.0,126.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,abort_count,5,5,4,2,6,2.0,4.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,batch_ms,5,5,0.306829,0.30309,0.320582,0.306071,0.307254,0.0011830000000000451
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_ms,5,5,0.150468,0.14917,0.161377,0.149724,0.152463,0.0027389999999999914
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,effective_commits_per_second,5,5,405134.756315,380557.860391,415718.103534,404133.898686,410084.164893,5950.266207000008
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,ms_per_commit,5,5,0.00246831451613,0.00240547619048,0.00262772131148,0.00243852380952,0.00247442741935,3.590360983000019e-05
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,peak_rss_kib,5,5,8124,8064,8212,8120.0,8144.0,24.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,runner_peak_rss_kib,5,5,8124,8064,8212,8120.0,8144.0,24.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,read_wall_ms,5,5,0.125155,0.12426,0.127003,0.124565,0.126078,0.0015130000000000005
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,commit_wall_ms,5,5,0.030049,0.028042,0.031795,0.029103,0.030575,0.001472000000000001
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,extract_ms,5,5,0.096686,0.095165,0.097554,0.096285,0.097392,0.0011070000000000108
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,read_worker_ms,5,5,0.123127,0.122371,0.12507,0.123021,0.124251,0.001229999999999995
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,commit_worker_ms,5,5,0.028885,0.026671,0.030466,0.027939,0.029523,0.001584000000000002
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,reservation_worker_ms,5,5,0.017616,0.017463,0.017783,0.017467,0.01772,0.00025299999999999975
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,dependency_worker_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,apply_worker_ms,5,5,0.019072,0.01716,0.020898,0.018347,0.0197,0.001353
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,sync_wait_ms,5,5,0.003011,0.002873,0.003197,0.003008,0.003192,0.00018400000000000014
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_B,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_acceptance_key_visits,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_build_ms,5,5,0.008776,0.008358,0.0163,0.008701,0.008983,0.00028199999999999927
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_certificate_ms,5,5,0.004317,0.004117,0.005786,0.00417,0.004778,0.000608
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_count_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_degree_queries,5,5,6,4,16,4.0,6.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_degree_requeries,5,5,2,0,4,0.0,2.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_graph_bytes,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_heavy_subsets,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_heavy_updates,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_incidences,5,5,12,12,36,12.0,12.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_index_payload_bytes,5,5,4928,4928,6976,4928.0,4928.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_initial_core_size,5,5,4,4,12,4.0,4.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_initial_degree_evaluations,5,5,0,0,0,0.0,0.0,0.0
