condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,accept_id,ok,0,0.020953,0.022752999999999995,0.9343139375585839,0.8521389905186475,0.9343139375602473,126,126,0.298034,0.318987,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,accept_static_degree,ok,0,-0.006552000000000002,-0.004585000000000006,1.0205400220071665,1.029795751262339,1.0205400220086451,126,126,0.325539,0.318987,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,3,native,ok,0,0.15249600000000002,0.158466,0.5315584307870946,0.0,0.5315584307869168,126,126,0.173043,0.325539,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,3,accept_id,ok,0,0.027505,0.027338,0.915509355253902,0.8274834980374339,0.9155093552542054,126,126,0.298034,0.325539,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,native,ok,0,0.17628199999999997,0.186813,0.49388901170519117,0.0,0.49388901170459915,122,122,0.172025,0.348307,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,accept_id,ok,0,0.050641999999999965,0.05457100000000001,0.8546052763797456,0.7078843549431785,0.8546052763782771,122,122,0.297665,0.348307,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,accept_static_degree,ok,0,0.021540000000000004,0.03018800000000002,0.9381580042893195,0.8384052501699559,0.9381580042892392,122,122,0.326767,0.348307,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,1,accept_id,ok,0,-0.12564,-0.132242,1.7303589594535678,,1.7303589594526687,122,122,0.297665,0.172025,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,1,accept_static_degree,ok,0,-0.15474199999999996,-0.156625,1.8995320447609356,,1.8995320447630502,122,122,0.326767,0.172025,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,1,native,ok,0,0.15474199999999996,0.156625,0.5264454488978386,0.0,0.5264454488972525,122,122,0.172025,0.326767,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,1,accept_id,ok,0,0.02910199999999996,0.024382999999999988,0.9109395991639304,0.8443224261771748,0.9109395991624429,122,122,0.297665,0.326767,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,native,ok,0,0.159691,0.163753,0.5185912045243521,0.0,0.5185912045240378,122,122,0.172025,0.331716,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,accept_id,ok,0,0.034051,0.03151100000000001,0.8973489370425304,0.8075699376499972,0.8973489370415202,122,122,0.297665,0.331716,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,accept_static_degree,ok,0,0.004949000000000037,0.007128000000000023,0.9850806111251793,0.9564710264850108,0.9850806111256788,122,122,0.326767,0.331716,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,1,native,ok,0,0.12564,0.132242,0.5779147699595183,0.0,0.5779147699598186,122,122,0.172025,0.297665,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,1,accept_static_degree,ok,0,-0.02910199999999996,-0.024382999999999988,1.0977676246787496,1.1843816639191784,1.097767624680542,122,122,0.326767,0.297665,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,2,native,ok,0,0.152538,0.160396,0.5259217359684483,0.0,0.5259217359683863,122,122,0.169219,0.321757,baseline_dominates
