condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,metric,expected_seeds,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,extract_ms,5,5,0.098457,0.0964,0.100098,0.09762,0.099555,0.0019350000000000062
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,read_worker_ms,5,5,0.132571,0.130858,0.133838,0.131907,0.133392,0.001485000000000014
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,commit_worker_ms,5,5,0.030004,0.026913,0.031313,0.029582,0.03074,0.0011579999999999993
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,reservation_worker_ms,5,5,0.017384,0.017351,0.017434,0.017357,0.017434,7.700000000000068e-05
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,dependency_worker_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,apply_worker_ms,5,5,0.020413,0.017335,0.021669,0.019955,0.021119,0.0011639999999999984
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,sync_wait_ms,5,5,0.003183,0.003045,0.003381,0.003097,0.003205,0.00010800000000000002
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_B,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_acceptance_key_visits,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_build_ms,5,5,0.008816,0.008482,0.01583,0.008786,0.008945,0.00015899999999999942
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_certificate_ms,5,5,0.004255,0.004041,0.005816,0.00418,0.004397,0.00021700000000000018
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_count_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_degree_queries,5,5,6,4,16,4.0,6.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_degree_requeries,5,5,2,0,4,0.0,2.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_graph_bytes,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_heavy_subsets,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_heavy_updates,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_incidences,5,5,12,12,36,12.0,12.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_index_payload_bytes,5,5,4928,4928,6976,4928.0,4928.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_initial_core_size,5,5,4,4,12,4.0,4.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,selector_initial_degree_evaluations,5,5,0,0,0,0.0,0.0,0.0
