condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_static_degree,batch_speedup,5,2.1517024973791163,2.106211590373902,2.2247342305145774,2.1424722856504856,2.171088275799446,0.028615990148960435
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_static_degree,selector_speedup,0,,,,,,
l2-n128-zipf-w1,main,2,128,zipf,1,native,native,,native,accept_static_degree,rate_ratio,5,1.980641935820486,1.9334138382245842,2.0094373694938925,1.9557679053496597,1.9894385509583792,0.03367064560871946
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,native,commit_delta,5,4,3,5,3.0,4.0,1.0
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,native,batch_delta_ms,5,0.13028099999999998,0.12526999999999996,0.13424200000000003,0.12881,0.13048999999999997,0.0016799999999999593
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,native,selector_delta_ms,5,0.132042,0.130674,0.133602,0.131438,0.132344,0.0009059999999999901
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,native,batch_speedup,5,0.5078201146950155,0.5017348955774669,0.5246245038289605,0.5058007078702713,0.5154780426040689,0.009677334733797616
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,native,rate_ratio,5,0.5440929800306026,0.5291453559257402,0.5669329315577961,0.5306811395535272,0.5471997683034986,0.016518628749971342
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,accept_static_degree,commit_delta,5,-2,-2,-1,-2.0,-2.0,0.0
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,accept_static_degree,batch_delta_ms,5,-0.02826400000000001,-0.03351399999999999,-0.01940499999999995,-0.02976000000000001,-0.027627000000000013,0.002132999999999996
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,accept_static_degree,selector_delta_ms,5,-0.028553999999999996,-0.030940999999999996,-0.025258000000000003,-0.030532000000000004,-0.027569999999999983,0.00296200000000002
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,accept_static_degree,batch_speedup,5,1.1044929668559067,1.071029330483131,1.1259238385090833,1.104397420140578,1.1165427225413833,0.012145302400805358
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,accept_static_degree,selector_speedup,5,1.2176853115398982,1.1890540560770049,1.2310236690808631,1.212925348697116,1.228012396848512,0.015087048151395832
l2-n128-zipf-w1,main,2,128,zipf,1,accept_id,accept_id,,greedy,accept_static_degree,rate_ratio,5,1.077365784912547,1.0404284924691336,1.0932883649280214,1.068864161474825,1.088620314138473,0.01975615266364783
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,native,commit_delta,5,3,1,6,2.0,6.0,4.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,native,batch_delta_ms,5,0.26751800000000003,0.264852,0.27929800000000005,0.266677,0.275125,0.008448000000000011
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,native,selector_delta_ms,5,0.271359,0.264373,0.281211,0.264414,0.280334,0.015920000000000045
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,native,batch_speedup,5,0.33716519613182766,0.32091144941015226,0.34390443892300565,0.32229265177624106,0.342671313348635,0.02037866157239393
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
