condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-accept_id,126,2,0.286997,0.135474,439028.979397,0.00227775396825,8204,8204,0.120834,0.030607,0.098548,0.118781,0.029384,0.017301,0,0.019888,0.003276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098548,0,0,0.003952,0,0.002623,0.030254,0.135474,0,0.000179,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-eas_k1_adaptive,126,2,0.308046,0.15002,409029.820222,0.00244480952381,8064,8064,0.125019,0.032891,0.095474,0.123113,0.031748,0.018041,0,0.022212,0.003049,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.095474,0.00893,0.014763,0.001423,0,0.004155,0.048049,0.15002,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-native,126,2,0.167393,0,752719.647775,0.00132851587302,8100,8100,0.129534,0.037794,0,0.127781,0.036846,0.017326,0.007199,0.014826,0.002701,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-accept_static_degree,126,2,0.309979,0.155915,406479.148587,0.00246015079365,8044,8044,0.121943,0.032037,0.09469,0.120048,0.031193,0.017448,0,0.021478,0.002739,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.09469,0,0,0.006297,0,0.002626,0.054689,0.155915,0.016213,0.00526,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-eas_k2_adaptive,126,2,0.305066,0.149782,413025.378115,0.00242115873016,8048,8048,0.126945,0.028172,0.096378,0.12514,0.026826,0.018343,0,0.017428,0.003151,4,10,12,0,0,0,0,4,0,0,0,768,0,0,0,0,0,4928,0.096378,0.008939,0.014637,0.001439,0,0.00424,0.046851,0.149782,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-accept_id,126,2,0.291866,0.133966,431704.960496,0.0023163968254,8320,8320,0.126032,0.031735,0.097356,0.123773,0.03039,0.017925,0,0.020577,0.003604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097356,0,0,0.003888,0,0.002542,0.030026,0.133966,0,0.000185,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-eas_k1_adaptive,126,2,0.307885,0.152136,409243.711126,0.00244353174603,8088,8088,0.12735,0.028301,0.096969,0.125274,0.027304,0.017718,0,0.017525,0.003073,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.096969,0.008493,0.014852,0.001288,0,0.004041,0.048523,0.152136,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-native,126,2,0.163049,0,772773.828726,0.00129403968254,8188,8188,0.124727,0.038257,0,0.123136,0.037019,0.017281,0.007239,0.014862,0.002829,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-eas_k2_adaptive,126,2,0.303814,0.149314,414727.431916,0.00241122222222,8028,8028,0.121903,0.032492,0.095475,0.119992,0.031287,0.017295,0,0.021625,0.003116,4,10,12,0,0,0,0,4,0,0,0,768,0,0,0,0,0,4928,0.095475,0.008489,0.014715,0.00109,0,0.004092,0.047177,0.149314,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-accept_static_degree,126,2,0.309844,0.15394,406656.252824,0.00245907936508,8328,8328,0.123637,0.032181,0.09292,0.121865,0.030873,0.017416,0,0.021461,0.00308,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.09292,0,0,0.006366,0,0.002824,0.054418,0.15394,0.01595,0.005214,128,506,0
