condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,wins_for,crossover_us
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,1,0.1289880000000001,c_above,117.55409179687516
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,0.045103000000000115,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,1,0.14339000000000013,c_above,130.90534375000007
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,0.055057000000000134,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,2,3,0.10753100000000004,c_above,31.13091341145835
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,0.01919800000000005,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,3,0.16058799999999995,c_above,47.54218815104168
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.07073699999999983,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,1,0.12377900000000008,c_above,112.71521875000002
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,0.03392799999999996,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,-1,0.15092799999999995,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,-1,0.06505000000000005,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.13051199999999996,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,0.04463400000000006,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.162331,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,0.0582339999999999,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,-1,0.16866599999999998,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,-1,0.06456899999999988,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,-1,0.14032900000000015,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,3,-1,0.047793000000000196,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.12413600000000002,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,0.03160000000000007,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,47,1,-3,0.1519299999999999,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,47,1,-3,0.055908999999999986,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,47,1,0,0.13378899999999994,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,47,1,0,0.037768000000000024,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,47,2,-3,0.10052100000000008,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,47,2,-3,0.051900999999999975,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,47,2,0,0.12841400000000003,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,47,2,0,0.07979399999999992,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,47,3,0,0.11861800000000011,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,47,3,0,0.05451600000000001,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,47,3,-3,0.12383199999999994,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,47,3,-3,0.05972999999999984,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,71,1,2,0.13512800000000014,c_above,58.49533789062511
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,71,1,0,0.09585700000000008,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,71,1,0,0.09720499999999999,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,71,1,-2,0.05793399999999993,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,71,2,2,0.1546860000000001,c_above,67.36311132812506
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,71,2,0,0.0664340000000001,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,71,2,0,0.18390300000000015,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,71,2,-2,0.09565100000000015,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,71,3,2,0.14768899999999996,c_above,64.23910742187495
