condition,numerator,denominator,commit_delta_count,commit_delta_maximum,commit_delta_median,commit_delta_minimum,complete,complete_seeds,expected_seeds,total_ms_delta_count,total_ms_delta_maximum,total_ms_delta_median,total_ms_delta_minimum,total_ms_ratio_count,total_ms_ratio_maximum,total_ms_ratio_median,total_ms_ratio_minimum,validator_rate_ratio_count,validator_rate_ratio_maximum,validator_rate_ratio_median,validator_rate_ratio_minimum
main-l3-n40-zipf-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.01897399999999999,0.01150000000000001,0.004398999999999986,5,1.1393210905432891,1.0848764862610802,1.0317438554460303,5,0.9692328136693314,0.9217639175187595,0.8777156925297914
main-l3-n40-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.036619,-0.040287,-0.05526500000000001,5,0.734898502881302,0.7291330761747317,0.6412155757819702,5,1.5595379116929404,1.3714917518847505,1.3607321229793228
main-l3-n40-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.06252200000000001,-0.068689,-0.074433,5,0.574654230531121,0.5410890482911519,0.5167755170936287,5,1.9350761925101443,1.8481246352299388,1.7401768696208075
main-l3-n512-uniform-k1,adaptive,accept_id,5,8,5,3,True,5,5,5,0.577229,0.5613509999999999,0.530432,5,2.2299393797342937,2.1989863046468514,2.1221395523982594,5,0.47694126485992316,0.4580987789909168,0.45523615612410806
main-l3-n512-uniform-k1,adaptive,accept_static_degree,5,0,-1,-2,True,5,5,5,-0.5191729999999999,-0.5279240000000001,-0.5377780000000001,5,0.6680401006929193,0.6600876047921562,0.6519679686367692,5,1.5269528252408686,1.5112733647651047,1.4969161266857454
main-l3-n512-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.31950499999999993,-0.331109,-0.349286,5,0.682204360777678,0.6781277832466133,0.6647991401316673,5,1.504213738606738,1.4746483254415372,1.4658364230625134
main-l3-n512-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.345387,-0.3636309999999999,-0.4009670000000001,5,0.6587766078312431,0.6375032523234799,0.6161709663523668,5,1.6229261919298785,1.5686194483798228,1.5179652527312673
main-l3-n512-zipf-k1,adaptive,accept_id,5,14,9,7,True,5,5,5,1.852927,1.803302,1.705867,5,5.611485115988522,5.4642155139548345,5.170376190511158,5,0.21995592971511654,0.2042889902341192,0.19143895385254145
main-l3-n512-zipf-k1,adaptive,accept_static_degree,5,1,0,-1,True,5,5,5,0.6540140000000001,0.5679629999999998,0.4882820000000001,5,1.4085748912989156,1.346469954888869,1.300401739847302,5,0.7756800235382321,0.7426827433981138,0.7029083196193932
main-l3-n512-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,3.2172149999999995,2.857208,2.4820490000000004,5,2.438276704693288,2.3148847270616852,2.174260731831016,5,0.459926440909351,0.43198695309088403,0.4101257244820335
