condition,seed,mode,commit_count,complete,expected,fvs_size,peak_rss_kib,successful,total_ms,validator_commits_per_second
main-l1-n2048-zipf-k1,29,graph,908,True,3,1140,4696,3,8.665977,104777.56864575107
main-l1-n2048-zipf-k1,29,lazy,908,True,3,1140,4388,3,6.004327,151224.2754267048
main-l1-n2048-zipf-k1,29,paper,908,True,3,1140,5196,3,19.530175,46492.15892842742
main-l1-n2048-zipf-k1,29,profile,908,True,3,1140,4520,3,2.819343,322060.84892827866
main-l1-n2048-zipf-k1,47,accept_id,886,True,3,1162,4200,3,1.105547,801413.2370672617
main-l1-n2048-zipf-k1,47,accept_static_degree,886,True,3,1162,4120,3,1.305518,678657.8201143148
main-l1-n2048-zipf-k1,47,adaptive,886,True,3,1162,4408,3,2.806644,315679.50905066694
main-l1-n2048-zipf-k1,47,graph,886,True,3,1162,4708,3,9.224266,96051.00286570226
main-l1-n2048-zipf-k1,47,lazy,886,True,3,1162,4296,3,6.725524,131736.94718805552
main-l1-n2048-zipf-k1,47,paper,886,True,3,1162,5272,3,20.529108,43158.23171664351
main-l1-n2048-zipf-k1,47,profile,886,True,3,1162,4496,3,2.824303,313705.7178355155
main-l1-n2048-zipf-k1,71,accept_id,887,True,3,1161,4184,3,1.091119,812926.9126465583
main-l1-n2048-zipf-k1,71,accept_static_degree,887,True,3,1161,4168,3,1.322057,670924.1734660456
main-l1-n2048-zipf-k1,71,adaptive,887,True,3,1161,4440,3,2.833938,312992.02734851645
main-l1-n2048-zipf-k1,71,graph,887,True,3,1161,4700,3,8.62988,102782.42571159737
main-l1-n2048-zipf-k1,71,lazy,887,True,3,1161,4464,3,5.997667,147890.83822092824
main-l1-n2048-zipf-k1,71,paper,887,True,3,1161,5200,3,19.675763,45080.84387883713
main-l1-n2048-zipf-k1,71,profile,887,True,3,1161,4440,3,2.835555,312813.54091174394
main-l1-n2048-zipf-k1,101,accept_id,903,True,3,1145,4248,3,1.09194,826968.514753558
main-l1-n2048-zipf-k1,101,accept_static_degree,903,True,3,1145,4132,3,1.317097,685598.7068530261
main-l1-n2048-zipf-k1,101,adaptive,903,True,3,1145,4412,3,2.812764,321036.5320375261
main-l1-n2048-zipf-k1,101,graph,903,True,3,1145,4548,3,8.957777,100806.260303198
main-l1-n2048-zipf-k1,101,lazy,903,True,3,1145,4508,3,6.402611,141036.21163303533
