condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_repetitions
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.trim_key_visits,5,768,768,768,768.0,768.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.trim_ms,5,0.014855,0.014463,0.021574,0.014734,0.014969,0.0002349999999999991,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector_ms,5,0.145844,0.142576,0.156553,0.143046,0.152339,0.009292999999999996,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,sync_wait_ms,5,0.002942,0.002641,0.003116,0.002649,0.003048,0.00039900000000000005,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,value_bytes,5,32,32,32,32.0,32.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,abort_count,5,4,2,6,2.0,4.0,2.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,actual_arity,5,2,2,2,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,apply_worker_ms,5,0.021546,0.018886,0.02167,0.021246,0.021591,0.0003449999999999981,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,arity_max,5,2,2,2,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,arity_min,5,2,2,2,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,batch_ms,5,0.302821,0.299033,0.319752,0.299411,0.306856,0.007445000000000035,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,commit_count,5,124,122,126,124.0,126.0,2.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,commit_wall_ms,5,0.032302,0.029585,0.032691,0.03223,0.032443,0.0002129999999999979,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,commit_worker_ms,5,0.03124,0.028554,0.031476,0.030903,0.031248,0.00034500000000000156,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,dependency_worker_ms,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,extract_ms,5,0.094207,0.09307,0.101746,0.094107,0.100216,0.006109000000000003,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,initial_core_size,5,4,4,12,4.0,4.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,peak_rss_kib,5,8224,8016,8256,8044.0,8224.0,180.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,read_wall_ms,5,0.123267,0.122097,0.125193,0.123216,0.125017,0.0018009999999999832,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,read_worker_ms,5,0.121573,0.120503,0.123357,0.121172,0.123355,0.0021830000000000044,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,reservation_worker_ms,5,0.017368,0.017177,0.019611,0.017315,0.017803,0.00048799999999999885,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,round_count,5,2,1,3,1.0,2.0,1.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,runner_peak_rss_kib,5,8224,8016,8256,8044.0,8224.0,180.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.B,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.build_ms,5,0.008151,0.007866,0.015699,0.00811,0.008224,0.00011400000000000125,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.certificate_ms,5,0.004213,0.004166,0.005663,0.004202,0.004266,6.399999999999982e-05,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.degree_queries,5,6,4,16,4.0,6.0,2.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.graph_bytes,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.heavy_subsets,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.heavy_updates,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.incidences,5,12,12,36,12.0,12.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.index_payload_bytes,5,4928,4928,6976,4928.0,4928.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.initial_core_size,5,4,4,12,4.0,4.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.kernel_ms,5,0.044443,0.043967,0.056061,0.044122,0.045591,0.001468999999999998,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.light_scans,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.normalize_ms,5,0.094207,0.09307,0.101746,0.094107,0.100216,0.006109000000000003,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.profile_links,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.profiles,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.select_ms,5,0.001637,0.00101,0.002457,0.001031,0.00171,0.0006789999999999999,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.subsets,5,10,10,30,10.0,10.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.switch_ms,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.switch_queries,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.switch_remaining,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.switch_round,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.switches,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.total_ms,5,0.144992,0.143366,0.164135,0.144533,0.152215,0.007681999999999994,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.tree_updates,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.trim_key_visits,5,768,768,768,768.0,768.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector.trim_ms,5,0.01456,0.014208,0.014711,0.014555,0.014622,6.699999999999935e-05,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,selector_ms,5,0.144992,0.143366,0.164135,0.144533,0.152215,0.007681999999999994,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,sync_wait_ms,5,0.002875,0.002797,0.003098,0.002869,0.003021,0.0001519999999999998,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,lazy,value_bytes,5,32,32,32,32.0,32.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,abort_count,5,2,2,6,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,actual_arity,5,2,2,2,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,apply_worker_ms,5,0.014834,0.014509,0.014933,0.014828,0.014848,2.000000000000092e-05,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,arity_max,5,2,2,2,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,arity_min,5,2,2,2,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,batch_ms,5,0.159472,0.158417,0.162889,0.159353,0.161033,0.0016800000000000148,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,commit_count,5,126,122,126,126.0,126.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,commit_wall_ms,5,0.037599,0.037506,0.037796,0.037507,0.037685,0.00017800000000000454,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,commit_worker_ms,5,0.036462,0.036436,0.036757,0.036448,0.03656,0.00011200000000000099,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,dependency_worker_ms,5,0.006945,0.006885,0.007147,0.006905,0.007004,9.900000000000013e-05,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,extract_ms,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,initial_core_size,5,4,4,12,4.0,4.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,peak_rss_kib,5,8156,8020,8172,8132.0,8172.0,40.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,read_wall_ms,5,0.12168,0.120843,0.125225,0.12165,0.123174,0.0015240000000000115,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,read_worker_ms,5,0.120072,0.118968,0.123164,0.119894,0.121262,0.0013679999999999942,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,reservation_worker_ms,5,0.017435,0.017237,0.017577,0.017409,0.017545,0.0001360000000000007,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,round_count,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,runner_peak_rss_kib,5,8156,8020,8172,8132.0,8172.0,40.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,selector.B,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,selector.build_ms,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,selector.certificate_ms,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,selector.degree_queries,5,0,0,0,0.0,0.0,0.0,5
