condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_pairs
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,batch_ms,5,1.0829499033575822,1.0093347572083673,1.141385608059968,1.0679990697260144,1.099287818450307,0.03128874872429255,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,selector_ms,5,1.109879252710175,1.0115042718344467,1.1959865715303488,1.0988083325752753,1.1610965148062058,0.06228818223093047,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,batch_ms,5,0.9121725571074599,0.8717439001365049,0.9610668334033937,0.90178030508772,0.937179673280704,0.03539936819298395,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,selector_ms,5,0.8843532118821473,0.8131616543283708,0.9662017604037069,0.8538299069489959,0.887299099616619,0.03346919266762316,5
main-l2-n2048-uniform-w1-k2,main,2,2048,uniform,1,2,10000,False,graph,adaptive,batch_ms,5,0.9320913945791917,0.9135532396747285,0.9471910144681562,0.9234095172848239,0.9361880973216928,0.012778580036868936,5
main-l2-n2048-uniform-w1-k2,main,2,2048,uniform,1,2,10000,False,graph,adaptive,selector_ms,5,0.8735772888685772,0.8465446110267651,0.9003419964987754,0.870639141390106,0.8897248427201981,0.01908570133009213,5
main-l2-n2048-uniform-w1-k2,main,2,2048,uniform,1,2,10000,False,graph,lazy,batch_ms,5,0.9298906582215328,0.9030850742011598,0.9412536114729557,0.9064155905292849,0.9399711451596229,0.03355555463033799,5
main-l2-n2048-uniform-w1-k2,main,2,2048,uniform,1,2,10000,False,graph,lazy,selector_ms,5,0.8760914836125022,0.8440289213503261,0.8961818343266537,0.8447013638137024,0.8825468952459431,0.037845531432240676,5
main-l2-n2048-uniform-w1-k2,main,2,2048,uniform,1,2,10000,False,graph,profile,batch_ms,5,0.8462062597664706,0.836211030560914,0.8524587935737005,0.8395535278211252,0.8494754233615774,0.009921895540452197,5
main-l2-n2048-uniform-w1-k2,main,2,2048,uniform,1,2,10000,False,graph,profile,selector_ms,5,0.7583171954730541,0.7556786366668371,0.768245110092937,0.7579785465692672,0.7584836873102028,0.0005051407409355502,5
main-l2-n2048-zipf-w1-k2,main,2,2048,zipf,1,2,10000,False,graph,adaptive,batch_ms,5,3.889764655815496,3.7802738710234003,4.121439909846144,3.8896628003674043,3.9925063244573,0.1028435240898955,5
main-l2-n2048-zipf-w1-k2,main,2,2048,zipf,1,2,10000,False,graph,adaptive,selector_ms,5,4.472191206571838,4.350647240516039,4.768002537153875,4.441375233891566,4.628170177841758,0.1867949439501917,5
main-l2-n2048-zipf-w1-k2,main,2,2048,zipf,1,2,10000,False,graph,lazy,batch_ms,5,3.9533649131185014,3.7750119053501017,4.124769427288778,3.9050572148244096,3.9953753793966342,0.09031816457222464,5
main-l2-n2048-zipf-w1-k2,main,2,2048,zipf,1,2,10000,False,graph,lazy,selector_ms,5,4.520987190926641,4.342877034365825,4.772443146196227,4.48291141661561,4.62969261693042,0.1467812003148099,5
main-l2-n2048-zipf-w1-k2,main,2,2048,zipf,1,2,10000,False,graph,profile,batch_ms,5,3.4516730045959387,3.291835028710352,3.6970484524176954,3.428335339771777,3.662166110704373,0.23383077093259574,5
main-l2-n2048-zipf-w1-k2,main,2,2048,zipf,1,2,10000,False,graph,profile,selector_ms,5,3.8871547303177905,3.6978618445148617,4.2308270717019605,3.8650610180883995,4.131576373499235,0.2665153554108355,5
main-l2-n32768-uniform-w1-k2,main,2,32768,uniform,1,2,10000,False,graph,adaptive,batch_ms,5,3.3926903072013386,3.3671042917467373,3.412621700794653,3.389028306063202,3.3993043099091786,0.0102760038459766,5
main-l2-n32768-uniform-w1-k2,main,2,32768,uniform,1,2,10000,False,graph,adaptive,selector_ms,5,3.959596439824869,3.9377761602036494,3.986927570683013,3.9548063101585424,3.981015767444915,0.026209457286372473,5
main-l2-n32768-uniform-w1-k2,main,2,32768,uniform,1,2,10000,False,graph,lazy,batch_ms,5,3.418727302061053,3.34539840283596,3.4648455927767756,3.3722795379467403,3.4227110637837757,0.05043152583703536,5
