condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_repetitions
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,reservation_worker_ms,5,0.044303,0.04387,0.044669,0.044219,0.044423,0.00020399999999999585,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,round_count,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,runner_peak_rss_kib,5,8552,8468,8672,8532.0,8556.0,24.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.B,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.build_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.certificate_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.degree_queries,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.graph_bytes,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.heavy_subsets,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.heavy_updates,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.incidences,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.index_payload_bytes,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.initial_core_size,5,18,16,26,18.0,22.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.kernel_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.light_scans,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.normalize_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,selector.profile_links,5,0,0,0,0.0,0.0,0.0,5
