condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,seed,metric,status,ratio,baseline_ms,baseline_status,mode_ms,mode_status
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,adaptive,29,selector_ms,ok,1.178476922636382,13.663417,ok,11.594132,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,adaptive,29,batch_ms,ok,1.1009061041358839,19.913783,ok,18.088539,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,graph,29,batch_ms,ok,0.37215872041992226,7.411088,ok,19.913783,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,lazy,29,batch_ms,ok,0.49769295093561944,7.411088,ok,14.890884,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,profile,29,batch_ms,ok,0.4174740590074071,7.411088,ok,17.752212,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,adaptive,29,batch_ms,ok,0.4097118070176923,7.411088,ok,18.088539,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,lazy,47,selector_ms,ok,1.5300355501296972,12.958988,ok,8.46973,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,lazy,47,batch_ms,ok,1.300383145390318,19.226828,ok,14.78551,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,profile,47,selector_ms,ok,1.128178287679897,12.958988,ok,11.486649,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,profile,47,batch_ms,ok,1.0831637430129202,19.226828,ok,17.75062,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,adaptive,47,selector_ms,ok,1.127350537616823,12.958988,ok,11.495083,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,adaptive,47,batch_ms,ok,1.0903897337416515,19.226828,ok,17.632987,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,graph,47,batch_ms,ok,0.3689101499217655,7.092972,ok,19.226828,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,lazy,47,batch_ms,ok,0.4797245411216792,7.092972,ok,14.78551,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,profile,47,batch_ms,ok,0.3995900988247171,7.092972,ok,17.75062,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,adaptive,47,batch_ms,ok,0.40225584014778665,7.092972,ok,17.632987,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,lazy,71,selector_ms,ok,1.5577127694587691,13.252123,ok,8.507424,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,lazy,71,batch_ms,ok,1.334435756576459,19.49239,ok,14.607215,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,profile,71,selector_ms,ok,1.1369149654351718,13.252123,ok,11.656213,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,profile,71,batch_ms,ok,1.0900446555942744,19.49239,ok,17.882194,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,adaptive,71,selector_ms,ok,1.1312717153367076,13.252123,ok,11.714359,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,adaptive,71,batch_ms,ok,1.0832695992460613,19.49239,ok,17.994034,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,graph,71,batch_ms,ok,0.3581911197138986,6.982001,ok,19.49239,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,lazy,71,batch_ms,ok,0.4779830378343853,6.982001,ok,14.607215,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,profile,71,batch_ms,ok,0.3904443157254642,6.982001,ok,17.882194,ok
