condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_pairs
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,native,profile,batch_ms,5,0.23901006478985842,0.23137004451532742,0.26548825872601006,0.23431145915024448,0.24403066585975577,0.009719206709511291,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,native,adaptive,batch_ms,5,0.12975518706494532,0.12867856896880248,0.1331859581419787,0.12918585977337957,0.13002844164914987,0.0008425818757702985,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,native,graph,batch_ms,5,0.07369262611146343,0.06635899565313162,0.07807355744238434,0.06897218734373096,0.07731796705873535,0.008345779715004387,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,native,lazy,batch_ms,5,0.12966330420405617,0.12923449351624305,0.13325229790388107,0.12951859054563677,0.1299010049298109,0.00038241438417413454,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,native,profile,batch_ms,5,0.0676303076239608,0.06671242092766973,0.08122359339394625,0.06744494194987169,0.07779846598119988,0.010353524031328193,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,native,adaptive,batch_ms,5,0.10035719895164646,0.09442101683633361,0.10208098931181409,0.0986275133557585,0.10098730465239247,0.0023597912966339674,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,native,graph,batch_ms,5,0.14298571634082227,0.13980783379198974,0.14554050132908555,0.14178652724282667,0.1434962733983395,0.0017097461555128368,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,native,lazy,batch_ms,5,0.10112255547339649,0.09036108613830927,0.10188491271561334,0.09982713417536178,0.10144163976598991,0.001614505590628132,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,native,profile,batch_ms,5,0.08262323216378008,0.0747163956565101,0.08349192691505031,0.07812209413987667,0.08325471230373971,0.00513261816386304,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,native,adaptive,batch_ms,5,0.07657331249056475,0.07459863619928243,0.07897686949075519,0.07644091884383986,0.0770580495009577,0.0006171306571178398,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,native,graph,batch_ms,5,0.003604914447461158,0.003541706090165628,0.0037190110294651945,0.0035571898253840086,0.003648418255014179,9.122842963017047e-05,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,native,lazy,batch_ms,5,0.07655449241097814,0.07491144501364275,0.0796685465877429,0.07597128016558581,0.07715557625898938,0.001184296093403564,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,native,profile,batch_ms,5,0.010375169720975005,0.010291095159135531,0.010902847868666124,0.010350600687630109,0.010573614443352392,0.0002230137557222827,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,adaptive,batch_ms,5,0.5230150825270347,0.5008564924023898,0.5412724042730346,0.5099987899553557,0.5270926553337482,0.017093865378392414,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,graph,batch_ms,5,0.5280907030675293,0.5185819006779705,0.543623547574551,0.5271145105499258,0.5319657006403994,0.004851190090473634,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,lazy,batch_ms,5,0.5315541158126781,0.5183038517051448,0.5445859872611465,0.5242978227264391,0.535474130652867,0.011176307926427875,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,profile,batch_ms,5,0.4932312712523444,0.4895714369721111,0.5215040143425053,0.4928469659996246,0.5080401260524202,0.01519316005279564,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,adaptive,batch_ms,5,0.338962719702085,0.32396346103766405,0.3485936009487715,0.33051388009878013,0.34372511064735,0.013211230548569874,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,graph,batch_ms,5,0.312085935479737,0.28163395388706947,0.33660036346436306,0.30850009034762993,0.3158046490569635,0.007304558709333553,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,lazy,batch_ms,5,0.3397424461335511,0.3214529417077258,0.34307226718254336,0.32947780950166017,0.3420006141761137,0.012522804674453547,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,profile,batch_ms,5,0.28467622580382546,0.27066905224112325,0.2959656978237324,0.2781993055932749,0.293429313633789,0.01523000804051411,5
